ts_min_utc,rps,label,RF_Alarm,LR_Alarm,RPS400_Alarm,RPS500_Alarm,RPS600_Alarm
2025-09-20 16:59:00+00:00,348,0,0,1,0,0,0
2025-09-20 17:00:00+00:00,186,0,0,1,0,0,0
2025-09-20 17:01:00+00:00,186,0,0,1,0,0,0
2025-09-20 17:02:00+00:00,224,0,0,1,0,0,0
2025-09-20 17:03:00+00:00,373,0,1,1,0,0,0
2025-09-20 17:04:00+00:00,372,0,0,1,0,0,0
2025-09-20 17:05:00+00:00,372,0,0,1,0,0,0
2025-09-20 17:06:00+00:00,373,0,1,1,0,0,0
2025-09-20 17:07:00+00:00,372,0,0,1,0,0,0
2025-09-20 17:08:00+00:00,373,0,1,1,0,0,0
2025-09-20 17:09:00+00:00,372,0,0,1,0,0,0
2025-09-20 17:10:00+00:00,373,0,1,1,0,0,0
2025-09-20 17:11:00+00:00,372,0,0,1,0,0,0
2025-09-20 17:12:00+00:00,471,0,0,1,1,0,0
2025-09-20 17:13:00+00:00,466,0,0,1,1,0,0
2025-09-20 17:14:00+00:00,758,1,1,1,1,1,1
2025-09-20 17:15:00+00:00,655,1,1,1,1,1,1
2025-09-20 17:16:00+00:00,647,1,1,1,1,1,1
2025-09-20 17:17:00+00:00,553,1,1,1,1,1,0
2025-09-20 17:18:00+00:00,552,1,1,1,1,1,0
2025-09-20 17:19:00+00:00,737,1,1,1,1,1,1
2025-09-20 17:20:00+00:00,829,1,1,1,1,1,1
2025-09-20 17:21:00+00:00,701,1,1,1,1,1,1
2025-09-20 17:22:00+00:00,921,1,1,1,1,1,1
2025-09-20 17:23:00+00:00,914,1,1,1,1,1,1
2025-09-20 17:24:00+00:00,215,1,1,1,0,0,0
2025-09-20 17:25:00+00:00,72,1,1,1,0,0,0
2025-09-20 17:26:00+00:00,256,1,1,1,0,0,0
2025-09-20 17:27:00+00:00,374,1,1,1,0,0,0
2025-09-20 17:28:00+00:00,393,1,1,1,0,0,0
2025-09-20 17:29:00+00:00,373,1,1,1,0,0,0
2025-09-20 17:30:00+00:00,373,1,1,1,0,0,0
2025-09-20 17:31:00+00:00,332,1,0,1,0,0,0
2025-09-20 17:32:00+00:00,186,1,0,1,0,0,0
2025-09-20 17:33:00+00:00,187,1,0,1,0,0,0
2025-09-20 17:34:00+00:00,187,1,0,1,0,0,0
2025-09-20 17:35:00+00:00,186,0,0,1,0,0,0
2025-09-20 17:36:00+00:00,195,0,0,1,0,0,0
2025-09-20 17:37:00+00:00,320,0,0,1,0,0,0
2025-09-20 17:38:00+00:00,338,0,0,1,0,0,0
2025-09-20 17:39:00+00:00,4,0,0,1,0,0,0
